0x00 0x1c00 0xd9cb => 0x1c00 0x45e4
0x00 0x3800 0x8bc9 => 0x3800 0x4aaa
0x00 0x4000 0xd557 => 0x4000 0x6194
0x00 0x0 0x8653 => 0x0 0x1e7a
0x00 0x0 0xf3d7 => 0x0 0x37d2
0x00 0x0 0xdf4b => 0x0 0x3392
0x00 0x0 0xce4b => 0x0 0x300f
0x00 0x0 0xc03f => 0x0 0x2d2c
0x00 0x0 0xb4b3 => 0x0 0x2ad1
0x00 0x0 0xab47 => 0x0 0x28ec
0x00 0x0 0xa3b3 => 0x0 0x2770
0x00 0x0 0x9dc3 => 0x0 0x2651
0x00 0x0 0x9947 => 0x0 0x2586
0x01 0x0 0x961b => 0x250b 0x2632
0x00 0x580 0x997f => 0x580 0x29ed
0x00 0x1600 0xa7b7 => 0x1600 0x3a25
0x00 0x5800 0xe897 => 0x5800 0x7c25
0x00 0x6000 0xf097 => 0x6000 0x846b
0x20 0x0 0x91af => 0x3481 0x34df
0x00 0x200 0xbfff => 0x200 0x3218
0x00 0x800 0xc863 => 0x800 0x3910
0x00 0x2000 0xe443 => 0x2000 0x526c
0x00 0x0 0xc9b3 => 0x0 0x3432
0x00 0x0 0xd0cb => 0x0 0x366b
0x00 0x0 0xd9af => 0x0 0x3923
0x00 0x0 0xe48f => 0x0 0x3c6a
0x00 0x0 0xf1ab => 0x0 0x4052
0x00 0x0 0x80a5 => 0x0 0x2278
0x00 0x0 0x89e3 => 0x0 0x2533
0x00 0x0 0x94cf => 0x0 0x286a
0x00 0x0 0xa1ab => 0x0 0x2c32
0x00 0x0 0xb0cb => 0x0 0x30a5
0x00 0x0 0xc297 => 0x0 0x35e4
0x00 0x0 0xd793 => 0x0 0x3c15
0x20 0x0 0xf057 => 0x5c08 0x5d33
0x00 0x400 0x99ff => 0x400 0x2df7
0x00 0x1000 0xb7df => 0x1000 0x3f43
0x00 0x4000 0xfd0f => 0x4000 0x758e
0x00 0x0 0xd63b => 0x0 0x3d0e
0x00 0x0 0xf43b => 0x0 0x4607
0x00 0x0 0x8c0f => 0x0 0x2866
0x07 0x0 0xa19b => 0x33ee 0x34b4
0x00 0x7700 0xda7f => 0x7700 0x93cc
0x00 0x5c00 0xcf33 => 0x5c00 0x7d8a
0x00 0x7000 0xf62b => 0x7000 0x974a
0x05 0x4000 0xdd2b => 0x7206 0x72c4
0x00 0x600 0xc4ff => 0x600 0x3e1e
